count,legislator,state,party,gender
6.0,Patrick J. Leahy,VT,Democrat,M
2.0,Dianne Feinstein,CA,Democrat,F
2.0,Chuck Grassley,IA,Republican,M
1.0,Virginia Foxx,NC,Republican,F
1.0,Mike Quigley,IL,Democrat,M
1.0,Harry Reid,NV,Democrat,M
1.0,Bernard Sanders,VT,Independent,M
